id	miner	hash	time	difficulty	chainwork
854969	Binance	000000000000000000026ab988b66bf549e9a991700444ec2116bd558c2e00a8	2024-08-01 15:25:29	90666502495566	000000000000000000000000000000000000000086a09d575d082e92bd7033bc
854970	MaraPool	00000000000000000002c7813606ac54b2b5eac375afaa728401292033343537	2024-08-01 15:46:40	90666502495566	000000000000000000000000000000000000000086a0efcda02b0f0366826ca2
854971	AntPool	000000000000000000004fdcdeaf3b35b25e43bf0192381479c14a5c7293874a	2024-08-01 15:58:22	90666502495566	000000000000000000000000000000000000000086a14243e34def740f94a588
854972	Foundry USA Pool	00000000000000000001b6fe40ce7e219e15ae108235e99215045a7ad3eba571	2024-08-01 16:08:58	90666502495566	000000000000000000000000000000000000000086a194ba2670cfe4b8a6de6e
854973	Foundry USA Pool	00000000000000000000a32b1aeab95b1088a25fd9b2a438e1c9a7958d38e202	2024-08-01 16:15:52	90666502495566	000000000000000000000000000000000000000086a1e7306993b05561b91754
854974	Foundry USA Pool	00000000000000000002c88229a9419d3fbdaae13e19d1017455472482472dec	2024-08-01 16:21:14	90666502495566	000000000000000000000000000000000000000086a239a6acb690c60acb503a
854975	Foundry USA Pool	00000000000000000002b6687693a6326353dce13aedba56bee1a1ce8bd6b5cf	2024-08-01 16:25:20	90666502495566	000000000000000000000000000000000000000086a28c1cefd97136b3dd8920
854976	Foundry USA Pool	00000000000000000000ee05436072331b4947754591fd384ebc2b8f0d2efd69	2024-08-01 17:01:46	90666502495566	000000000000000000000000000000000000000086a2de9332fc51a75cefc206
854977	Foundry USA Pool	000000000000000000030664235ac1e8500731ed531536f2089989108d5689af	2024-08-01 17:05:42	90666502495566	000000000000000000000000000000000000000086a33109761f32180601faec
854978	ViaBTC	00000000000000000000614d10bd7ae5718a077f84173e63226e532c9eb4e0dc	2024-08-01 17:07:01	90666502495566	000000000000000000000000000000000000000086a3837fb9421288af1433d2
854979	Unknown	000000000000000000002ea4dac51f8d8aa8b63d0d927d3b46e53cef3ee02569	2024-08-01 17:11:27	90666502495566	000000000000000000000000000000000000000086a3d5f5fc64f2f958266cb8
854980	Foundry USA Pool	00000000000000000002e373db883e26ecd3c71ff471b15a75bda40b2d22b95d	2024-08-01 17:35:17	90666502495566	000000000000000000000000000000000000000086a4286c3f87d36a0138a59e
854981	ViaBTC	000000000000000000008c0ce7071a2e3ebe526a8d785f54304ffe94bc111fb1	2024-08-01 17:38:01	90666502495566	000000000000000000000000000000000000000086a47ae282aab3daaa4ade84
854982	Foundry USA Pool	0000000000000000000019bdaf8faec8a1e9424c92d27ee76aa01c6ee3868c65	2024-08-01 18:01:14	90666502495566	000000000000000000000000000000000000000086a4cd58c5cd944b535d176a
854983	Foundry USA Pool	000000000000000000015411f19a1a2300404c545af2c6c0d00d92aa541ea214	2024-08-01 18:02:36	90666502495566	000000000000000000000000000000000000000086a51fcf08f074bbfc6f5050
854984	AntPool	000000000000000000018310fc61f85b728b05e718bfb84f0365650c73f6c59c	2024-08-01 18:10:03	90666502495566	000000000000000000000000000000000000000086a572454c13552ca5818936
854985	Foundry USA Pool	000000000000000000028152f4cbda5b07fdd1829c093793b215a092bf208bc6	2024-08-01 18:10:16	90666502495566	000000000000000000000000000000000000000086a5c4bb8f36359d4e93c21c
854986	ViaBTC	00000000000000000000c0c4dc9a2e2094e025453d58006728b3125da0ab5b83	2024-08-01 18:15:01	90666502495566	000000000000000000000000000000000000000086a61731d259160df7a5fb02
854987	ViaBTC	00000000000000000001b46e9d641d3b9b2733612aac3ea8827cd96e6edeef0a	2024-08-01 18:16:31	90666502495566	000000000000000000000000000000000000000086a669a8157bf67ea0b833e8
854988	AntPool	000000000000000000004dd117f7039236a6939b71cd4fcfe21a8817f1df607d	2024-08-01 18:19:56	90666502495566	000000000000000000000000000000000000000086a6bc1e589ed6ef49ca6cce
854989	Foundry USA Pool	00000000000000000000d3dd8c60b9a1a9fbec63f314dc45ab74fe4325ec7586	2024-08-01 18:29:35	90666502495566	000000000000000000000000000000000000000086a70e949bc1b75ff2dca5b4
854990	AntPool	00000000000000000001bb0ac98cee201c0fdc63b0a71a87868c0d184ad78798	2024-08-01 18:37:21	90666502495566	000000000000000000000000000000000000000086a7610adee497d09beede9a
854991	AntPool	00000000000000000000c06acc98fe48df19a3b68f9dbe1ea4279ec3423fc4f9	2024-08-01 18:50:54	90666502495566	000000000000000000000000000000000000000086a7b3812207784145011780
854992	Foundry USA Pool	000000000000000000027f1c7daccc156a45a26159dc61fa93a482f552f6cfaf	2024-08-01 19:04:57	90666502495566	000000000000000000000000000000000000000086a805f7652a58b1ee135066
854993	Foundry USA Pool	000000000000000000027c6bda363265c5817f65cf16140e85bc3afe043c18d8	2024-08-01 19:33:43	90666502495566	000000000000000000000000000000000000000086a8586da84d39229725894c
854994	ViaBTC	000000000000000000010de14a8df6af7000b026cf0e78233f937970290ace86	2024-08-01 19:34:11	90666502495566	000000000000000000000000000000000000000086a8aae3eb7019934037c232
854995	Binance	00000000000000000000fc2249827bafef51f57d60d2b364f01b1b7adea18631	2024-08-01 19:56:36	90666502495566	000000000000000000000000000000000000000086a8fd5a2e92fa03e949fb18
854996	AntPool	0000000000000000000169fc84b02de5333fc5a29264c3234589827cc0af05ab	2024-08-01 20:02:19	90666502495566	000000000000000000000000000000000000000086a94fd071b5da74925c33fe
854997	MaraPool	000000000000000000004e97f175702c2287554948f4b04b6fa9a603e1ce8b8a	2024-08-01 20:06:58	90666502495566	000000000000000000000000000000000000000086a9a246b4d8bae53b6e6ce4
854998	Foundry USA Pool	00000000000000000002d4e163e1eedaaaedf4a9aa52505887f7742521949d9d	2024-08-01 20:17:26	90666502495566	000000000000000000000000000000000000000086a9f4bcf7fb9b55e480a5ca
854999	F2Pool	00000000000000000000942013d8bbfe4c7c6f9df48319e2fc8bcdaf0c2af6ae	2024-08-01 20:23:11	90666502495566	000000000000000000000000000000000000000086aa47333b1e7bc68d92deb0
855000	AntPool	0000000000000000000233ea80aa10d38aa4486cd7033fffc2c4df556d0b9138	2024-08-01 20:34:04	90666502495566	000000000000000000000000000000000000000086aa99a97e415c3736a51796
855001	AntPool	00000000000000000000bce630cc7c76accbaaea99f2558f1804234da7e2eeb8	2024-08-01 20:40:19	90666502495566	000000000000000000000000000000000000000086aaec1fc1643ca7dfb7507c
855002	Foundry USA Pool	00000000000000000000d1c7564d557d6e49d8fc74069aaebf0942372c32a396	2024-08-01 20:56:41	90666502495566	000000000000000000000000000000000000000086ab3e9604871d1888c98962
855003	ViaBTC	000000000000000000011f0b4c15fd2e105fc76efed59e0cd1b3e035cd1c19ab	2024-08-01 20:58:47	90666502495566	000000000000000000000000000000000000000086ab910c47a9fd8931dbc248
855004	ViaBTC	0000000000000000000310ae4cfd3a23e8aee5f18e888dc66ed7ab06a3093671	2024-08-01 22:06:02	90666502495566	000000000000000000000000000000000000000086abe3828accddf9daedfb2e
855005	Foundry USA Pool	00000000000000000002eb0f32795cd438c777060efa7470ab38cb228a105ce3	2024-08-01 22:15:52	90666502495566	000000000000000000000000000000000000000086ac35f8cdefbe6a84003414
855006	AntPool	0000000000000000000254a5ff0321e8be2323aaa68da3b7f7a7dfe76df928ba	2024-08-01 22:18:47	90666502495566	000000000000000000000000000000000000000086ac886f11129edb2d126cfa
855007	ViaBTC	000000000000000000007386f66333af27f6586f2ec4424deece189f0d05f29f	2024-08-01 22:58:57	90666502495566	000000000000000000000000000000000000000086acdae554357f4bd624a5e0
855008	Unknown	00000000000000000001ae6b4034e811c655637e4e38bc993d5ae19c43939c8e	2024-08-01 23:06:48	90666502495566	000000000000000000000000000000000000000086ad2d5b97585fbc7f36dec6
855009	Foundry USA Pool	00000000000000000002b9715cf5955e1950314a36860b4f2be940fca0738c26	2024-08-01 23:13:08	90666502495566	000000000000000000000000000000000000000086ad7fd1da7b402d284917ac
855010	MaraPool	0000000000000000000300557e81fc9bb2ced36c6e3a47187afad8b91a022f08	2024-08-01 23:23:02	90666502495566	000000000000000000000000000000000000000086add2481d9e209dd15b5092
855011	AntPool	0000000000000000000069f8bf61479c5599ed33fcf50a647a0e5dc24121e5cb	2024-08-01 23:33:55	90666502495566	000000000000000000000000000000000000000086ae24be60c1010e7a6d8978
