id	miner	hash	time	difficulty	total_difficulty	uncle_count
20429993	0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97	38553b53e6e67208c634eb42cb7c9b9edd1f1a8623923d47e4ec637772daf59c	2024-08-01 00:04:11	0	58750003716598352816469	0
20429994	0x339d441469aae4b09a7ecec8d1cca5c8120687d0	4f9369cd8fade5b177a4c86053fdae8fbd1dbee77c976f6daf4963322dc6c787	2024-08-01 00:04:23	0	58750003716598352816469	0
20429995	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	3619de25257369a21b4642350c05b4464d992ee3af6c132c9f4c8ec7dcad002b	2024-08-01 00:04:35	0	58750003716598352816469	0
20429996	0xd861f72137c15476c5d14f448e1a3d1de354f2d2	b0199fbbd49c6450da87b26b809b75b4b8956efdcd1c3deb7ea7900722d6a297	2024-08-01 00:04:47	0	58750003716598352816469	0
20429997	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	9c6e684002193c0c42d0f7312544a9ed09b0f7bec68bd1ec76433603284b93a2	2024-08-01 00:04:59	0	58750003716598352816469	0
20429998	0x7adc0e867ebc337e2d20c44db181c067fa08637b	968cf59bbf42128c0425405594c346607edcaaa2f35634ada5bf1537dd694863	2024-08-01 00:05:11	0	58750003716598352816469	0
20429999	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	7122abaa572ea952572ec3bca0bfa593fe9acb8dae0e1f573e5d74c64065c6d0	2024-08-01 00:05:23	0	58750003716598352816469	0
20430000	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	8ba1d24bd17e47c5d4fd4bd7b4c84742169ea2cf43d70e1764df1c711feb1fa2	2024-08-01 00:05:35	0	58750003716598352816469	0
20430001	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	e3a59534e953a688e5cc1f0e892240931d6f372d33c7465180652b50ed55ceb6	2024-08-01 00:05:47	0	58750003716598352816469	0
20430002	0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97	6428678d2f42225e462a6a83d3b9b7eb7b082ca6b245084410542432caf62734	2024-08-01 00:05:59	0	58750003716598352816469	0
20430003	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	8ed86ae8ed091ebaed6aa870c3e021f4a335a03ff389b13f32506c35edfa625f	2024-08-01 00:06:11	0	58750003716598352816469	0
20430004	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	42d6f06a8de70d1ebdea98f84a698637cf61e7f681e8cb112ae341ef4344c4d2	2024-08-01 00:06:23	0	58750003716598352816469	0
20430005	0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97	36ec0237d2d53f2a222b01a0584d34cb08bdbd3d49b45742fc7f0785fe1b79c7	2024-08-01 00:06:35	0	58750003716598352816469	0
20430006	0xd11d7d2cb0aff72a61df37fd016ee1bd9f180633	f8b5c2c07c6186cf9b71500aaf6584ae66fdaad25ce15b7076cb33e51986ef96	2024-08-01 00:06:47	0	58750003716598352816469	0
20430007	0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97	a8333f36705e0650f867f64106bd5ca73318882dd211c7bd49d4c817b980e67d	2024-08-01 00:06:59	0	58750003716598352816469	0
20430008	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	d026bc844b769b0f3772a5ee550fa120f15e92e7a427cc3d2732bf72c3f4ca2a	2024-08-01 00:07:11	0	58750003716598352816469	0
20430009	0x388c818ca8b9251b393131c08a736a67ccb19297	370662248572c30f57988338bb0debffbcc881201bafdf80daf4be3871556015	2024-08-01 00:07:23	0	58750003716598352816469	0
20430010	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	909a20bcd9e74aecef118b5109ebb41c158446e9a264599b96c4cc26d3997ef7	2024-08-01 00:07:35	0	58750003716598352816469	0
20430011	0xdf99a0839818b3f120ebac9b73f82b617dc6a555	abc066afd22b03da539dcfaa4450936c9ef20862fcf866875099aca20da93a8a	2024-08-01 00:07:47	0	58750003716598352816469	0
20430012	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	21f83437770abe5c3d8ec0c8c1ddc2afefdce4d2732b3606002db2e0c3f06027	2024-08-01 00:07:59	0	58750003716598352816469	0
20430013	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	56405c3f357455af344cbe876f5b7fe1191faa55079e8d73b9a4de59f9f634d6	2024-08-01 00:08:11	0	58750003716598352816469	0
20430014	0x1f9090aae28b8a3dceadf281b0f12828e676c326	7afb452efcfac578f6b40edb27663aff1e86a377230a0d9ce4bd0ea165007077	2024-08-01 00:08:23	0	58750003716598352816469	0
20430015	0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97	6aa6b2298124329744cb62a0f642267f3ba7e063036fefeb96022163bd5b302e	2024-08-01 00:08:35	0	58750003716598352816469	0
20430016	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	5fc2783efd4f56ecc1d001ee326e3af026546353729920068e9598e039ee9f97	2024-08-01 00:08:47	0	58750003716598352816469	0
20430017	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	1a5bac94953af92c84f25a028a36ab3bd23e8c8367121427e5986c7246dd8c8e	2024-08-01 00:08:59	0	58750003716598352816469	0
20430018	0xdf99a0839818b3f120ebac9b73f82b617dc6a555	5698ff07e0e5deb8feac7f985a030661d47ca5b45e690d6ed20e7440370d4e28	2024-08-01 00:09:11	0	58750003716598352816469	0
20430019	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	4e0e9ac125f469928bdaf58a2063a79177f4c2aa82e81ee397ee89f7ccfcf1d7	2024-08-01 00:09:23	0	58750003716598352816469	0
20430020	0x95222290dd7278aa3ddd389cc1e1d165cc4bafe5	a18d3bfc6090f27e1b14982640d5046e47bee6a6a7d963210aebf4784a853c37	2024-08-01 00:09:35	0	58750003716598352816469	0
