id	miner	hash	time	difficulty	chainwork
550288	AntPool	000000000000000001240adbbd82ae80d6b040e61151d6df5749010f88a35e5c	2018-10-01 13:36:04	583358925892.97	000000000000000000000000000000000000000000c6650e79795c62fddd57c8
550289	BMG Pool	00000000000000000064599947d6308095887f0f898e85a069d56b0afeb2c4a3	2018-10-01 13:59:06	585868027142.64	000000000000000000000000000000000000000000c66596e2766a66af24e15f
550290	CoinGeek	0000000000000000012367b68d1ead2f860c1914abe48a1978599aa87104d48d	2018-10-01 14:08:10	584560986211.12	000000000000000000000000000000000000000000c6661efd8b4ddeb1d5ea78
550291	CoinGeek	00000000000000000099aa08789d5c2742c9086e6a5ee57ff029ab97ef821da2	2018-10-01 14:14:06	576636479883.96	000000000000000000000000000000000000000000c666a54047fa2754f0fdad
550292	Bitcoin.com	000000000000000001704756d671788ef68c317bdcaefa0704de46e20746d2a8	2018-10-01 14:20:25	587957100758.03	000000000000000000000000000000000000000000c6672e25ca407fa41e3b55
550293	ViaBTC	00000000000000000146b9715339933a905666b8d65d2219e77891c547fa49d5	2018-10-01 14:30:24	603887786108.9	000000000000000000000000000000000000000000c667bac0db340d7e4b1c5b
550294	CoinGeek	00000000000000000052d1d800e74ec4345a727bcbe93066a08884799a997bbd	2018-10-01 14:36:10	601453161215.82	000000000000000000000000000000000000000000c66846cace2900454a9fa2
550295	CoinGeek	000000000000000000b6e3f72f52e9a0d99c506e1dc7a444649b214449f9afaa	2018-10-01 15:03:10	608868093508.81	000000000000000000000000000000000000000000c668d48eb9bb30a6ed9ed0
550296	AntPool	0000000000000000007b6af45a27f51a4524eee2febe432a1ef2b13aa2cf3e6b	2018-10-01 15:04:01	608425957108.36	000000000000000000000000000000000000000000c66962384abbb6038f204d
550297	BMG Pool	0000000000000000007ed7ac5a72752851de8a30eec1c561b5c4e242d0de4ef7	2018-10-01 15:05:49	598998250353.72	000000000000000000000000000000000000000000c669edafea26c725b22ae1
550298	BTC.com	0000000000000000010262090f375dcf33a25a5aa329c444e8d947c16e6df860	2018-10-01 15:06:35	599930849954.21	000000000000000000000000000000000000000000c66a795f20209f55194052
550299	BTC.com	000000000000000000fc7075ad3b6bc8155825e4d92c2ecd2efb7594c7bab9b1	2018-10-01 15:17:36	617736523552.46	000000000000000000000000000000000000000000c66b0933a74446ee5150ff
550300	Unknown	000000000000000001b3657cbbdf65262a86abadabd1c955dff78a5eb16dfef7	2018-10-01 15:25:36	618712494429.94	000000000000000000000000000000000000000000c66b99425ac45860190d81
550301	CoinGeek	000000000000000000fc8e3705cb65cbff7bb9011f75c3b388f18fdcad4ff95b	2018-10-01 15:31:07	624682437873.76	000000000000000000000000000000000000000000c66c2ab4e5c3d521bda0f7
550302	Bitcoin.com	000000000000000000f68138b75f685aba88a04400f88a0940deeb7b03943695	2018-10-01 15:45:11	649596524915.94	000000000000000000000000000000000000000000c66cc1f4755cd8aa46c0bf
550303	Unknown	000000000000000000743b3e301060cb862cd635bf3a99cd0adbabe1d0dfaf59	2018-10-01 16:03:07	649104978211.68	000000000000000000000000000000000000000000c66d5916b8703f6b3d1556
550304	BTC.com	000000000000000000fd735d3f2512ba44dbba9e2eb419db53880b43e79d3281	2018-10-01 16:12:49	643286891042.11	000000000000000000000000000000000000000000c66deede3131da49ac166d
550305	CoinGeek	0000000000000000016449e0b11ca27ada192357c7408dbce062f97fea815453	2018-10-01 16:15:10	637132450827.18	000000000000000000000000000000000000000000c66e8336d336877cf7a02a
550306	CoinGeek	0000000000000000001f3cf18cebf5d504228a67f0caa14344f370c70eaf7a0e	2018-10-01 16:24:10	633491533925.01	000000000000000000000000000000000000000000c66f16b6706689af4e2771
550307	CoinGeek	00000000000000000114d58806177e36ac54e015deb529ce49b26819c334db12	2018-10-01 16:36:11	634171730426.94	000000000000000000000000000000000000000000c66faa5e98b8acf1fc185e
550308	BTC.TOP	000000000000000000ffbb085b3af0552c68ac1e5c7457413188b84770e81f4f	2018-10-01 16:53:04	633680950183.36	000000000000000000000000000000000000000000c6703de980373bccf3e839
550309	CoinGeek	00000000000000000037e6226187dd643415313bf73a4446c5b477ec36e338c0	2018-10-01 17:03:10	631232869562.51	000000000000000000000000000000000000000000c670d0e27c64f27e63a02b
550310	BTC.com	0000000000000000013195d3ade92a0ba118e3d1d52d46a8b8f97d21ac66a2d0	2018-10-01 17:24:06	625952261011.16	000000000000000000000000000000000000000000c67162a0b7a6c0ea3723b6
550311	ViaBTC	000000000000000001401020fe9120705e6ae88c2903cba827581644c29c8c5a	2018-10-01 17:27:48	628069194926.22	000000000000000000000000000000000000000000c671f4dd213fd8baffd23d
550312	CoinGeek	0000000000000000006e7cf8afb5a3d4c1dac6f8df71cff63652fbb2eb6ee4f7	2018-10-01 17:31:06	621064242906.89	000000000000000000000000000000000000000000c6728578022194804c32fa
550313	CoinGeek	000000000000000001bb4d3dfbe1bc62433152d2cbf6c29c0968652fde3b4204	2018-10-01 18:01:10	623013492592.82	000000000000000000000000000000000000000000c673168712a815d83eeb28
550314	BTC.com	000000000000000000a57a5b8e37a3670a43e2c30f6d160f374175050d0f1a73	2018-10-01 18:37:00	622303260439.59	000000000000000000000000000000000000000000c673a76bcdbbe8832f036c
550315	Unknown	000000000000000000dd9b12a37e7fac53d5384efeb438ee6df60aa40845b196	2018-10-01 18:56:04	610549949807.24	000000000000000000000000000000000000000000c6743593f8c982cd25a5a2
550316	CoinGeek	000000000000000001acd5753e2ca7dd21386de2ad33f9824d015ceb562b4937	2018-10-01 19:47:06	599501593476.38	000000000000000000000000000000000000000000c674c12998baa71fdf3a84
550317	CoinGeek	00000000000000000029155a86198fd102c16a80844634b9fa0b3ea9b7dd57af	2018-10-01 20:12:06	599187527763.87	000000000000000000000000000000000000000000c6754cac8055e29ac5c315
550318	Bitcoin.com	00000000000000000100f9c1c89275aea3696f2986356ca11ef7bec879d16679	2018-10-01 20:13:51	578047366943.16	000000000000000000000000000000000000000000c675d34355c3d732d160a9
550319	AntPool	000000000000000001bf247db0f50a8b104a193ed6362a2decd6acae927f29f3	2018-10-01 20:16:21	572026757216.57	000000000000000000000000000000000000000000c67658734e943096138dfd
550320	CoinGeek	0000000000000000019ca60a4fe2f1653a01a7dd4d18cdd23a123f640c265561	2018-10-01 20:22:10	575416207037.73	000000000000000000000000000000000000000000c676de6d4f14eed28f44cb
550321	BTC.TOP	000000000000000001c22975dd4cbb982d183ef65259a269d6d1e374a68f3752	2018-10-01 20:28:34	579148471493.68	000000000000000000000000000000000000000000c6776545c64a2bb4cfa78e
550322	BTC.com	00000000000000000197ebbebcdecf318658dfe1dc91dd23e9c2798cf7f93ce3	2018-10-01 20:28:59	579758900981.6	000000000000000000000000000000000000000000c677ec42a00dfb124e2225
550323	BMG Pool	00000000000000000105fc1fa4edb65f16f301701a729862502a95b3a6a95efb	2018-10-01 20:49:06	580885272610.97	000000000000000000000000000000000000000000c67873829d261b224971cd
550324	Bitcoin.com	000000000000000001b73b7c339ea5d00ce836c931a56d78ed12a6d34034576d	2018-10-01 20:54:22	582891744200.33	000000000000000000000000000000000000000000c678fb3a330979593c5026
550325	BTC.com	0000000000000000009d07eb73e6ae8eb1718ba96f6d30e5a8315098461e9742	2018-10-01 20:56:36	578799567255.19	000000000000000000000000000000000000000000c67981fdde4ebbceb4c362
550326	Unknown	000000000000000000e75a851b5d3a2f4b49a6d71602391c641c59617812de25	2018-10-01 21:18:38	579250896542.49	000000000000000000000000000000000000000000c67a08dc706bec6a8464af
550327	ViaBTC	00000000000000000076b5d8923c532c9d41379e0655a2d4758d7670a7a9dfd5	2018-10-01 21:42:04	578674064618.54	000000000000000000000000000000000000000000c67a8f98a0a5072cf49886
550328	BTC.com	00000000000000000190b213a2484ea7f290870301ac564c63dd314b848f1ffd	2018-10-01 21:45:33	572063088197.75	000000000000000000000000000000000000000000c67b14cac3d5701ce4b1b9
550329	BTC.com	0000000000000000013f354b5d20fbc0800549e800d183651c15d05aeee70e2f	2018-10-01 21:56:11	563531310327.22	000000000000000000000000000000000000000000c67b98005c6fffef7843c4
550330	CoinGeek	0000000000000000000780010ff3dbc1c356709b28e4649bd21951d3672f62da	2018-10-01 22:10:06	563601834386.39	000000000000000000000000000000000000000000c67c1b3a292b5f0f142dee
550331	Unknown	000000000000000000956fb5325af22e2ecdd1ae70d9038d981d9d27ccc94b78	2018-10-01 22:11:00	559957838130.43	000000000000000000000000000000000000000000c67c9d9ac2152a6748ec21
